TEMP,HUM,PNM,DD,FF,ESTACION,ALTURA,LAT,LON,TEMP_MEDIA_HIST,HORA_sen,HORA_cos,PROV_BUENOS AIRES,PROV_CAPITAL FEDERAL,PROV_CATAMARCA,PROV_CHACO,PROV_CHUBUT,PROV_CORDOBA,PROV_CORRIENTES,PROV_ENTRE RIOS,PROV_FORMOSA,PROV_JUJUY,PROV_LA PAMPA,PROV_LA RIOJA,PROV_MENDOZA,PROV_MISIONES,PROV_NEUQUEN,PROV_RIO NEGRO,PROV_SALTA,PROV_SAN JUAN,PROV_SAN LUIS,PROV_SANTA CRUZ,PROV_SANTA FE,PROV_TIERRA DEL FUEG,PROV_TUCUMAN
17.0,87.0,1012.6,20.0,6.0,AEROPARQUE AERO,6.0,-33.45,-58.416666666666664,,-0.7071067811865477,0.7071067811865474,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16.3,91.0,1012.3,360.0,6.0,AEROPARQUE AERO,6.0,-33.45,-58.416666666666664,,-0.5000000000000004,0.8660254037844384,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16.6,90.0,1012.1,340.0,7.0,AEROPARQUE AERO,6.0,-33.45,-58.416666666666664,,-0.25881904510252157,0.9659258262890681,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.7,94.0,1019.4,90.0,24.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,0.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.1,96.0,1019.6,70.0,19.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,0.25881904510252074,0.9659258262890683,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.9,96.0,1018.8,90.0,19.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,0.49999999999999994,0.8660254037844387,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.8,97.0,1018.8,50.0,19.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,0.7071067811865476,0.7071067811865476,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.8,97.0,1018.4,70.0,20.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,0.8660254037844386,0.5000000000000001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.1,97.0,1017.5,70.0,20.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,0.9659258262890683,0.25881904510252074,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.3,97.0,1017.5,70.0,15.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,1.0,6.123233995736766e-17,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.6,97.0,1017.4,70.0,15.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,0.9659258262890683,-0.25881904510252063,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.6,97.0,1017.0,70.0,11.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,0.8660254037844387,-0.4999999999999998,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.8,100.0,1016.9,90.0,11.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,0.7071067811865476,-0.7071067811865475,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,97.0,1016.8,70.0,9.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,0.49999999999999994,-0.8660254037844387,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.4,97.0,1016.9,50.0,9.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,0.258819045102521,-0.9659258262890682,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.8,97.0,1016.1,90.0,11.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.2,97.0,1015.5,90.0,11.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,-0.2588190451025208,-0.9659258262890683,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.8,97.0,1014.2,70.0,11.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,-0.4999999999999997,-0.8660254037844388,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.8,97.0,1013.3,50.0,7.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,-0.7071067811865471,-0.7071067811865479,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.4,96.0,1012.6,20.0,13.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,-0.8660254037844385,-0.5000000000000004,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.6,96.0,1012.9,340.0,6.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,-0.9659258262890683,-0.25881904510252063,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.4,97.0,1012.6,200.0,4.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,-1.0,-1.8369701987210297e-16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.8,97.0,1013.3,0.0,0.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,-0.9659258262890684,0.2588190451025203,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.8,99.0,1013.1,90.0,6.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,-0.8660254037844386,0.5000000000000001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.6,97.0,1014.6,20.0,7.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,-0.7071067811865477,0.7071067811865474,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.6,97.0,1013.7,180.0,9.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,-0.5000000000000004,0.8660254037844384,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.8,96.0,1014.0,180.0,6.0,AZUL AERO,147.0,-35.18333333333333,-59.88333333333333,,-0.25881904510252157,0.9659258262890681,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.2,92.0,1016.6,20.0,11.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,0.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,92.0,1016.2,10.0,15.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,0.25881904510252074,0.9659258262890683,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,90.0,1015.6,360.0,11.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,0.49999999999999994,0.8660254037844387,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.6,90.0,1015.2,360.0,13.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,0.7071067811865476,0.7071067811865476,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,85.0,1015.4,360.0,13.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,0.8660254037844386,0.5000000000000001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.2,90.0,1015.2,360.0,13.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,0.9659258262890683,0.25881904510252074,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.8,84.0,1015.0,360.0,13.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,1.0,6.123233995736766e-17,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.8,88.0,1015.0,340.0,11.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,0.9659258262890683,-0.25881904510252063,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.2,88.0,1015.2,360.0,11.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,0.8660254037844387,-0.4999999999999998,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.8,91.0,1015.4,990.0,4.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,0.7071067811865476,-0.7071067811865475,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.8,86.0,1015.4,290.0,7.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,0.49999999999999994,-0.8660254037844387,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.9,80.0,1015.6,290.0,4.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,0.258819045102521,-0.9659258262890682,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.7,76.0,1015.5,270.0,11.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16.0,74.0,1015.1,280.0,17.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,-0.2588190451025208,-0.9659258262890683,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16.7,72.0,1014.3,300.0,15.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,-0.4999999999999997,-0.8660254037844388,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16.4,76.0,1014.2,260.0,15.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,-0.7071067811865471,-0.7071067811865479,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.7,72.0,1014.4,270.0,11.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,-0.8660254037844385,-0.5000000000000004,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.2,75.0,1015.2,270.0,11.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,-0.9659258262890683,-0.25881904510252063,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.7,75.0,1015.8,250.0,11.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,-1.0,-1.8369701987210297e-16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.4,78.0,1015.9,250.0,15.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,-0.9659258262890684,0.2588190451025203,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.5,71.0,1016.5,210.0,19.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,-0.8660254037844386,0.5000000000000001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.8,61.0,1016.9,200.0,24.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,-0.7071067811865477,0.7071067811865474,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,73.0,1018.3,200.0,17.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,-0.5000000000000004,0.8660254037844384,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.6,80.0,1020.0,200.0,15.0,BAHIA BLANCA AERO,83.0,-37.3,-62.15,,-0.25881904510252157,0.9659258262890681,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.1,71.0,,280.0,15.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4.6,76.0,,300.0,19.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,0.25881904510252074,0.9659258262890683,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3.2,73.0,,350.0,9.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,0.49999999999999994,0.8660254037844387,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4.7,75.0,,330.0,13.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,0.7071067811865476,0.7071067811865476,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4.6,82.0,,310.0,20.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,0.8660254037844386,0.5000000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4.1,86.0,,310.0,19.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,0.9659258262890683,0.25881904510252074,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3.4,91.0,,280.0,9.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,1.0,6.123233995736766e-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3.1,92.0,,290.0,13.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,0.9659258262890683,-0.25881904510252063,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3.3,92.0,,260.0,11.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,0.8660254037844387,-0.4999999999999998,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3.2,91.0,,280.0,7.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,0.7071067811865476,-0.7071067811865475,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3.1,91.0,,300.0,9.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,0.49999999999999994,-0.8660254037844387,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3.7,91.0,,280.0,6.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,0.258819045102521,-0.9659258262890682,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4.3,91.0,,30.0,4.0,BARILOCHE AERO,835.0,-40.86666666666667,-71.15,,1.2246467991473532e-16,-1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
